date,price,prev_pos,action,new_pos,turnover,reward,portfolio_value,portfolio_ret,trade
2023-09-27,415.3163757324219,1.0,1.0,1.0,0.0,0.005797449895059037,1.0455124777849074,0.005797449895059037,HOLD
2023-09-28,417.7241516113281,1.0,1.0,1.0,0.0,-0.0024268729108045672,1.042975151874663,-0.0024268729108045672,HOLD
2023-09-29,416.71038818359375,1.0,1.0,1.0,0.0,-0.00039773658516006893,1.0425603224993496,-0.00039773658516006893,HOLD
2023-10-02,416.5446472167969,1.0,1.0,1.0,0.0,-0.01338607338745812,1.0286045335115213,-0.01338607338745812,HOLD
2023-10-03,410.96875,1.0,1.0,1.0,0.0,0.007281929012052268,1.0360947587060272,0.007281929012052268,HOLD
2023-10-04,413.9613952636719,1.0,1.0,1.0,0.0,-0.0003767871680341317,1.0357043714960794,-0.0003767871680340207,HOLD
2023-10-05,413.805419921875,1.0,1.0,1.0,0.0,0.011872863871259742,1.048001148509721,0.011872863871259742,HOLD
2023-10-06,418.7184753417969,1.0,1.0,1.0,0.0,0.006402140669551137,1.0547105992843313,0.006402140669551137,HOLD
2023-10-09,421.399169921875,1.0,1.0,1.0,0.0,0.005204872277817962,1.060200233243667,0.005204872277817962,HOLD
2023-10-10,423.5924987792969,1.0,1.0,1.0,0.0,0.004096243310383052,1.064543071356758,0.004096243310383052,HOLD
2023-10-11,425.32763671875,1.0,1.0,1.0,0.0,-0.006096446213913698,1.0580531417798371,-0.006096446213913698,HOLD
2023-10-12,422.7346496582031,1.0,1.0,1.0,0.0,-0.004980880611548999,1.0527831053999575,-0.004980880611548999,HOLD
2023-10-13,420.6290588378906,1.0,1.0,1.0,0.0,0.010521525050871894,1.0638599892165579,0.010521525050871894,HOLD
2023-10-16,425.0547180175781,1.0,1.0,1.0,0.0,-4.587816955148316e-05,1.0638111812675937,-4.587816955137214e-05,HOLD
2023-10-17,425.03521728515625,1.0,1.0,1.0,0.0,-0.013325168224083028,1.0496357183185425,-0.013325168224083028,HOLD
2023-10-18,419.3715515136719,1.0,1.0,1.0,0.0,-0.008786442290248497,1.0404131546537532,-0.008786442290248497,HOLD
2023-10-19,415.686767578125,1.0,1.0,1.0,0.0,-0.01228802932834816,1.0276285272957686,-0.01228802932834816,HOLD
2023-10-20,410.57879638671875,1.0,1.0,1.0,0.0,-0.0017332590249657942,1.025847380876521,-0.0017332590249657942,HOLD
2023-10-23,409.8671569824219,1.0,1.0,1.0,0.0,0.0075395403322595644,1.0335817985793823,0.0075395403322595644,HOLD
2023-10-24,412.9573669433594,1.0,1.0,1.0,0.0,-0.01435220640112056,1.0187476192737295,-0.01435220640112067,HOLD
2023-10-25,407.030517578125,1.0,1.0,1.0,0.0,-0.011974664661704604,1.0065484581580166,-0.011974664661704604,HOLD
2023-10-26,402.1564636230469,1.0,1.0,1.0,0.0,-0.004532904917891489,1.0019858697019361,-0.004532904917891378,HOLD
2023-10-27,400.3335266113281,1.0,1.0,1.0,0.0,0.011955897064284127,1.0139655096199598,0.011955897064284127,HOLD
2023-10-30,405.119873046875,1.0,1.0,1.0,0.0,0.006280316457260016,1.02033353389712,0.006280316457260016,HOLD
2023-10-31,407.6641540527344,1.0,1.0,1.0,0.0,0.010664574390573556,1.0312149567725626,0.010664574390573556,HOLD
2023-11-01,412.01171875,1.0,1.0,1.0,0.0,0.019164568025598516,1.050977745960645,0.019164568025598516,HOLD
2023-11-02,419.9077453613281,1.0,1.0,1.0,0.0,0.009123417452200577,1.0605662546700168,0.009123417452200577,HOLD
2023-11-03,423.7387390136719,1.0,1.0,1.0,0.0,0.0023003843480526864,1.0630059646823324,0.0023003843480526864,HOLD
2023-11-06,424.7135009765625,1.0,1.0,1.0,0.0,0.0028460132103069746,1.0660312937004535,0.0028460132103069746,HOLD
2023-11-07,425.9222412109375,1.0,1.0,1.0,0.0,0.0007323406383494824,1.0668119917385825,0.0007323406383494824,HOLD
2023-11-08,426.2341613769531,1.0,1.0,1.0,0.0,-0.007798613874103633,1.05849233693875,-0.007798613874103522,HOLD
2023-11-09,422.9101257324219,1.0,1.0,1.0,0.0,0.01560472391273171,1.0750098176204215,0.01560472391273171,HOLD
2023-11-10,429.509521484375,1.0,1.0,1.0,0.0,-0.0009530225871966502,1.0739853089827711,-0.0009530225871966502,HOLD
2023-11-13,429.1001892089844,1.0,1.0,1.0,0.0,0.01940059406482786,1.0948212619939346,0.01940059406482786,HOLD
2023-11-14,437.42498779296875,1.0,1.0,1.0,0.0,0.0021169924363426684,1.0971389903247228,0.0021169924363426684,HOLD
2023-11-15,438.35101318359375,1.0,1.0,1.0,0.0,0.0012232065890804833,1.0984810179668252,0.0012232065890804833,HOLD
2023-11-16,438.88720703125,1.0,1.0,1.0,0.0,0.0012438239911174431,1.0998473350107594,0.0012438239911174431,HOLD
2023-11-17,439.43310546875,1.0,1.0,1.0,0.0,0.007697503441823406,1.108313413657485,0.007697503441823406,HOLD
2023-11-20,442.8156433105469,1.0,1.0,1.0,0.0,-0.002179228201325878,1.1058981458105348,-0.002179228201325989,HOLD
2023-11-21,441.85064697265625,1.0,1.0,1.0,0.0,0.0038608115916483055,1.1101678101910626,0.0038608115916483055,HOLD
2023-11-22,443.5565490722656,1.0,1.0,1.0,0.0,0.0006152274927841983,1.110850815949496,0.0006152274927841983,HOLD
2023-11-24,443.8294372558594,1.0,1.0,1.0,0.0,-0.0018009540133075985,1.108850224714326,-0.0018009540133074875,HOLD
2023-11-27,443.0301208496094,1.0,1.0,1.0,0.0,0.0009902728561292928,1.1099482889933734,0.0009902728561292928,HOLD
2023-11-28,443.4688415527344,1.0,1.0,1.0,0.0,-0.0007035019643759632,1.1091674381917107,-0.0007035019643760743,HOLD
2023-11-29,443.1568603515625,1.0,1.0,1.0,0.0,0.003937371172570314,1.1135346420884005,0.003937371172570314,HOLD
2023-11-30,444.9017333984375,1.0,1.0,1.0,0.0,0.005915887324793756,1.1201221875632499,0.005915887324793756,HOLD
2023-12-01,447.5337219238281,1.0,1.0,1.0,0.0,-0.0052493098262266225,1.1142423191574997,-0.0052493098262266225,HOLD
2023-12-04,445.1844787597656,1.0,1.0,1.0,0.0,-0.00019715097644912305,1.114022645196277,-0.00019715097644912305,HOLD
2023-12-05,445.0967102050781,1.0,1.0,1.0,0.0,-0.004029707652330683,1.1095334596180597,-0.004029707652330794,HOLD
2023-12-06,443.3031005859375,1.0,1.0,1.0,0.0,0.007630304947847222,1.1179995382647854,0.007630304947847222,HOLD
2023-12-07,446.6856384277344,1.0,1.0,1.0,0.0,0.004299174796466021,1.122806013702154,0.004299174796466021,HOLD
2023-12-08,448.60601806640625,1.0,1.0,1.0,0.0,0.003889544447922999,1.1271732175988438,0.003889544447922999,HOLD
2023-12-11,450.35089111328125,1.0,1.0,1.0,0.0,0.00456736141482561,1.1323214250607296,0.00456736141482561,HOLD
2023-12-12,452.4078063964844,1.0,1.0,1.0,0.0,0.013790145623133743,1.1479363024045115,0.013790145623133743,HOLD
2023-12-13,458.6465759277344,1.0,1.0,1.0,0.0,0.0032092768274736283,1.1516203477792342,0.0032092768274736283,HOLD
2023-12-14,460.1184997558594,1.0,1.0,1.0,0.0,-0.0016464635953064022,1.1497242468010016,-0.0016464635953064022,HOLD
2023-12-15,459.3609313964844,1.0,1.0,1.0,0.0,0.00562510583903264,1.1561915673749594,0.00562510583903264,HOLD
2023-12-18,461.94488525390625,1.0,1.0,1.0,0.0,0.006080857448069299,1.1632222034788264,0.006080857448069299,HOLD
2023-12-19,464.75390625,1.0,1.0,1.0,0.0,-0.013857392079981823,1.14710297732908,-0.013857392079981823,HOLD
